Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.15     25.66     0.04       28     0.00     0.00  Mod_FloodFillSkin(unsigned char*, int, int)
  0.15     25.70     0.04     3050     0.00     0.00  R_AddDynamicLights(msurface_s*)
  0.14     25.73     0.04     1409     0.00     0.00  Mod_LeafPVS
  0.12     25.77     0.03      208     0.00     0.00  Sys_Printf
  0.11     25.80     0.03     6210     0.00     0.00  EmitWaterPolys
  0.11     25.83     0.03     1089     0.00     0.00  Length
  0.11     25.86     0.03     6498     0.00     0.00  MSG_WriteAngle
  0.10     25.88     0.03     4581     0.00     0.00  MSG_ReadCoord
  0.10     25.91     0.03     2940     0.00     0.00  GetEdictFieldValue
  0.10     25.94     0.03     1718     0.00     0.00  quake::math::multiply(ScePspFMatrix4 const&, ScePspFMatrix4 const&, ScePspFMatrix4*)
  0.10     25.97     0.03     1207     0.00     0.00  R_AnimateLight
  0.10     25.99     0.03     1207     0.00     0.00  D_StartParticles
  0.09     26.02     0.03     1207     0.00     0.00  R_SetupGL()
  0.09     26.04     0.03       66     0.00     0.00  R_MarkLights
  0.09     26.07     0.02    12907     0.00     0.00  Hunk_AllocName
  0.08     26.09     0.02     5556     0.00     0.00  CalcSurfaceExtents(msurface_s*)
  0.08     26.11     0.02    33751     0.00     0.00  FloatNoSwap
  0.08     26.14     0.02      166     0.00     0.00  Hunk_HighAllocName
  0.08     26.16     0.02                             PF_random
  0.08     26.18     0.02                             PF_vlen
  0.08     26.20     0.02    24970     0.00     0.00  Draw_AlphaPic(int, int, qpic_t*, float)
  0.08     26.22     0.02     3023     0.00     0.00  VectorMA
  0.08     26.24     0.02     1207     0.00     0.00  SV_AddToFatPVS
  0.08     26.26     0.02     1206     0.00     0.00  V_StopPitchDrift
  0.07     26.28     0.02     1225     0.00     0.00  V_UpdatePalette
  0.07     26.30     0.02     1210     0.00     0.00  CDAudio_Update
  0.07     26.32     0.02      353     0.00     0.00  Cache_TryAlloc
  0.07     26.34     0.02      165     0.00     0.00  Hunk_FreeToHighMark
  0.07     26.36     0.02    18606     0.00     0.00  MSG_WriteCoord
  0.07     26.38     0.02     7334     0.00     0.00  SZ_Write
  0.07     26.39     0.02     6006     0.00     0.00  R_DrawAliasModel(entity_s*)
  0.07     26.41     0.02     1208     0.00     0.00  SV_SetIdealPitch
  0.06     26.43     0.02    11316     0.00     0.00  SV_Move
  0.06     26.45     0.02     6664     0.00     0.00  GL_BindLM
  0.06     26.46     0.02      150     0.00     0.00  Sys_FileSeek
  0.06     26.48     0.02    12922     0.00     0.00  SV_ClipMoveToEntity
  0.06     26.50     0.02     2432     0.00     0.00  R_RenderView
  0.06     26.51     0.01     1213     0.00     0.00  MSG_WriteLong
  0.05     26.52     0.01     1125     0.00     0.00  SV_PointContents
  0.05     26.54     0.01      177     0.00     0.00  COM_FindFile
  0.05     26.55     0.01     4663     0.00     0.00  R_LightPoint
  0.05     26.56     0.01     1211     0.00     0.00  IN_Commands
  0.05     26.58     0.01     1210     0.00     0.00  CL_UpdateTEnts
  0.05     26.59     0.01     1210     0.00     0.00  ED_ParseEpair
  0.04     26.60     0.01     1718     0.00     0.00  R_BlendLightmaps()
  0.04     26.61     0.01     1225     0.00     0.00  SCR_TileClear()
  0.04     26.62     0.01     2425     0.00     0.00  RemoveLink
  0.04     26.64     0.01     1225     0.00     0.00  GL_BeginRendering
  0.04     26.65     0.01     1207     0.00     0.01  R_DrawWorld
  0.04     26.66     0.01        1     0.01     0.01  mp3_init
  0.04     26.67     0.01     7623     0.00     0.00  SNDDMA_Submit
  0.04     26.68     0.01     3621     0.00     0.00  Sbar_DrawNum
  0.04     26.69     0.01     2527     0.00     0.00  SNDDMA_GetDMAPos
  0.04     26.70     0.01     2290     0.00     0.00  Q_strcpy
  0.04     26.71     0.01        2     0.01     0.01  mp3_deinit
  0.03     26.72     0.01     6126     0.00     0.00  MSG_WriteShort
  0.03     26.73     0.01     5619     0.00     0.00  MSG_ReadChar
  0.03     26.73     0.01     4902     0.00     0.00  Q_strlen
  0.03     26.74     0.01     4840     0.00     0.00  Loop_GetMessage
  0.03     26.75     0.01     1225     0.00     0.00  GL_Set2D
  0.03     26.76     0.01     1206     0.00     0.00  CL_AdjustAngles
  0.03     26.77     0.01                             Draw_TransPic
  0.03     26.78     0.01     6122     0.00     0.00  MSG_ReadShort
  0.03     26.79     0.01     1210     0.00     0.00  CL_RelinkEntities
  0.03     26.80     0.01     1207     0.00     0.00  Sbar_DrawFace
  0.03     26.80     0.01      607     0.00     0.00  SV_Physics_Toss
  0.03     26.81     0.01      251     0.00     0.00  GL_LoadTexture
  0.03     26.82     0.01        1     0.01     0.01  Cvar_WriteVariables
  0.03     26.83     0.01        1     0.01     0.01  Key_WriteBindings
  0.03     26.84     0.01                             PF_cvar
  0.03     26.84     0.01     1893     0.00     0.00  Z_Free
  0.03     26.85     0.01     1790     0.00     0.00  Draw_CachePic
  0.03     26.86     0.01     1226     0.00     0.00  Con_CheckResize
  0.03     26.86     0.01     1207     0.00     0.00  D_EndParticles
  0.02     26.87     0.01     1473     0.00     0.00  Cmd_TokenizeString
  0.02     26.88     0.01     1210     0.00     0.00  CL_ReadFromServer
  0.02     26.88     0.01     1210     0.00     0.00  S_Update
  0.02     26.89     0.01      511     0.00     0.00  quake::clipping::end_brush_model()
  0.02     26.89     0.01       58     0.00     0.00  Hunk_FreeToLowMark
  0.02     26.90     0.01                             Cvar_VariableValue
  0.02     26.91     0.01                             Hunk_Alloc
  0.02     26.91     0.01     7276     0.00     0.00  SZ_Clear
  0.02     26.91     0.01     4663     0.00     0.00  Mod_Extradata
  0.02     26.92     0.01     3386     0.00     0.00  CL_ParseUpdate
  0.02     26.93     0.01     2420     0.00     0.00  MSG_BeginReading
  0.02     26.93     0.01     2414     0.00     0.00  MSG_WriteFloat
  0.02     26.93     0.01     1580     0.00     0.00  Cmd_Argv
  0.02     26.94     0.01     1365     0.00     0.00  D_CreateBuffer
  0.02     26.95     0.01     1207     0.00     0.00  V_CalcRefdef
  0.02     26.95     0.01     1207     0.00     0.00  R_SetFrustum()
  0.02     26.95     0.01     1207     0.00     0.00  R_Mirror()
  0.02     26.96     0.01     1088     0.00     0.00  Con_DrawNotify
  0.02     26.96     0.01      143     0.00     0.00  va
  0.02     26.97     0.01                             Draw_Pic
  0.01     26.97     0.00     7476     0.00     0.00  S_LoadSound
  0.01     26.98     0.00     4840     0.00     0.00  NET_GetMessage
  0.01     26.98     0.00     2475     0.00     0.00  InsertLinkBefore
  0.01     26.99     0.00     2423     0.00     0.00  CL_GetMessage
  0.01     26.99     0.00     2412     0.00     0.00  Loop_SendUnreliableMessage
  0.01     26.99     0.00     1691     0.00     0.00  MIX_MixChannelsToPaintbuffer
  0.01     27.00     0.00     1207     0.00     0.00  R_RenderDlights
  0.01     27.00     0.00     1207     0.00     0.00  quake::clipping::begin_frame()
  0.01     27.01     0.00      556     0.00     0.00  R_DrawSkyChain
  0.01     27.01     0.00      268     0.00     0.00  Con_DPrintf
  0.01     27.01     0.00                             PF_precache_sound
  0.01     27.02     0.00                             SV_ClientThink
  0.01     27.02     0.00                             SV_StartSound
  0.01     27.03     0.00                             S_Update_
  0.01     27.03     0.00                             V_RenderView
  0.01     27.03     0.00     3206     0.00     0.00  MSG_WriteChar
  0.01     27.04     0.00     2412     0.00     0.00  NET_SendUnreliableMessage
  0.01     27.04     0.00     1411     0.00     0.00  Sbar_Changed
  0.01     27.04     0.00     1213     0.00     0.00  CL_ParseServerMessage
  0.01     27.05     0.00     1213     0.00     0.00  MSG_ReadLong
  0.01     27.05     0.00     1210     0.00     0.00  Cbuf_Execute
  0.01     27.05     0.00     1210     0.00     0.00  SV_RunClients
  0.01     27.05     0.00     1207     0.00     0.00  R_ClearSkyBox
  0.01     27.06     0.00     1207     0.00     0.00  SV_SendClientDatagram
  0.01     27.06     0.00     1207     0.00     0.00  SV_WriteEntitiesToClient
  0.01     27.06     0.00     1207     0.00     0.00  R_MarkLeaves()
  0.01     27.07     0.00      999     0.00     0.00  SV_UserFriction
  0.01     27.07     0.00      511     0.00     0.00  R_RotateForEntity
  0.01     27.07     0.00      402     0.00     0.00  ED_Alloc
  0.01     27.07     0.00     2414     0.00     0.00  R_DrawParticles
  0.01     27.08     0.00     2412     0.00     0.00  MSG_ReadFloat
  0.01     27.08     0.00     2248     0.00     0.00  SV_AirMove
  0.01     27.08     0.00     1211     0.00     0.00  Loop_CheckNewConnections
  0.01     27.08     0.00     1211     0.00     0.00  Sys_SendKeyEvents
  0.01     27.08     0.00     1210     0.00     0.00  SV_ReadClientMessage
  0.01     27.09     0.00     1207     0.00     0.00  R_DrawWaterSurfaces
  0.01     27.09     0.00     1207     0.00     0.00  R_SetupFrame()
  0.01     27.09     0.00     1204     0.00     0.00  SV_ReadClientMove
  0.01     27.09     0.00     1190     0.00     0.00  SV_TestEntityPosition
  0.01     27.09     0.00     1127     0.00     0.00  SV_CheckStuck
  0.01     27.10     0.00     1098     0.00     0.00  SV_TraceTexture
  0.01     27.10     0.00     1039     0.00     0.00  SV_PushEntity
  0.01     27.10     0.00      712     0.00     0.00  R_DrawBrushModel
  0.01     27.10     0.00      541     0.00     0.00  EDICT_NUM
  0.01     27.10     0.00      294     0.00     0.00  round_up(unsigned int)
  0.01     27.11     0.00      211     0.00     0.00  Draw_FadeScreenColor
  0.01     27.11     0.00      113     0.00     0.00  W_GetLumpName
  0.01     27.11     0.00       56     0.00     0.00  Sys_FileClose
  0.01     27.11     0.00       41     0.00     0.00  R_SplitEntityOnNode(mnode_s*)
  0.01     27.11     0.00       26     0.00     0.00  Con_Printf
  0.01     27.12     0.00        6     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.01     27.12     0.00        1     0.00     0.00  SNDDMA_Init
  0.01     27.12     0.00                             Cmd_ExecuteString
  0.01     27.12     0.00                             M_Draw
  0.01     27.12     0.00                             PF_precache_model
  0.01     27.13     0.00                             SCR_UpdateScreen
  0.01     27.13     0.00                             SV_LinkEdict
  0.01     27.13     0.00                             S_ExtraUpdate
  0.01     27.13     0.00                             R_RenderScene()
  0.00     27.13     0.00     2834     0.00     0.00  IN_MLookDown
  0.00     27.13     0.00     2527     0.00     0.00  S_PaintChannels
  0.00     27.14     0.00     1377     0.00     0.00  SV_FlyMove
  0.00     27.14     0.00     1225     0.00     0.00  Sbar_Draw
  0.00     27.14     0.00     1211     0.00     0.00  NET_CheckNewConnections
  0.00     27.14     0.00     1210     0.00     0.00  CL_SendCmd
  0.00     27.14     0.00     1210     0.00     0.00  SV_SendClientMessages
  0.00     27.14     0.00     1210     0.00     0.00  Sys_ConsoleInput
  0.00     27.14     0.00     1207     0.00     0.00  CalcGunAngle
  0.00     27.14     0.00     1207     0.00     0.00  Draw_TileClear
  0.00     27.14     0.00     1207     0.00     0.00  V_CalcShake
  0.00     27.14     0.00     1207     0.00     0.00  V_SetContentsColor
  0.00     27.14     0.00     1206     0.00     0.00  CL_BaseMove
  0.00     27.15     0.00     1206     0.00     0.00  IN_Move
  0.00     27.15     0.00     1129     0.00     0.00  SV_Physics
  0.00     27.15     0.00     1129     0.00     0.00  SV_Physics_Client
  0.00     27.15     0.00     1125     0.00     0.00  SV_WalkMove
  0.00     27.15     0.00     1124     0.00     0.00  V_CalcRoll
  0.00     27.15     0.00     1099     0.00     0.00  MaterialsCheck
  0.00     27.15     0.00      556     0.00     0.00  R_DrawScroll_SkyChain(msurface_s*)
  0.00     27.15     0.00      385     0.00     0.00  ED_ParseEdict
  0.00     27.15     0.00      251     0.00     0.00  GL_GetTexfName(int)
  0.00     27.16     0.00      232     0.00     0.00  round_down(unsigned int)
  0.00     27.16     0.00      209     0.00     0.00  Cache_Move
  0.00     27.16     0.00      160     0.00     0.00  GL_SubdivideSurface
  0.00     27.16     0.00      144     0.00     0.00  Cache_Alloc
  0.00     27.16     0.00      123     0.00     0.00  Q_strcat
  0.00     27.16     0.00       62     0.00     0.00  Hunk_LowMark
  0.00     27.16     0.00       54     0.00     0.00  Cvar_Command
  0.00     27.16     0.00       43     0.00     0.00  Con_isSetOSKActive
  0.00     27.16     0.00       41     0.00     0.00  R_AddEfrags
  0.00     27.16     0.00       29     0.00     0.00  COM_StripExtension
  0.00     27.16     0.00       28     0.00     0.02  GL_MakeAliasModelDisplayLists
  0.00     27.17     0.00       14     0.00     0.00  R_RunParticleEffect
  0.00     27.17     0.00        8     0.00     0.00  Mod_LoadSpriteFrame(void*, mspriteframe_s**, int, int)
  0.00     27.17     0.00        3     0.00     0.00  Mod_SetParent(mnode_s*, mnode_s*)
  0.00     27.17     0.00        2     0.00     0.00  Loop_Close
  0.00     27.17     0.00        1     0.00     0.00  Hunk_Check
  0.00     27.17     0.00        1     0.00     0.00  R_ClearParticles
  0.00     27.17     0.00                             COM_LoadStackFile
  0.00     27.17     0.00                             Draw_ConsoleBackground
  0.00     27.17     0.00                             Mod_ForName
  0.00     27.18     0.00                             Mod_TouchModel
  0.00     27.18     0.00                             PF_Remove
  0.00     27.18     0.00                             PF_ambientsound
  0.00     27.18     0.00                             PF_makevectors
  0.00     27.18     0.00                             PF_sound
  0.00     27.18     0.00                             PF_traceline
  0.00     27.18     0.00                             PF_tracematerial
  0.00     27.18     0.00                             SV_ClearDatagram
  0.00     27.18     0.00                             SV_UpdateToReliableMessages
  0.00     27.18     0.00                             SV_WriteClientdataToMessage
  0.00     27.18     0.00                             SetMinMaxSize
  0.00     27.18     0.00     1210     0.00     0.00  CL_ParseClientdata
  0.00     27.18     0.00     1210     0.00     0.00  NET_Poll
  0.00     27.18     0.00     1210     0.00     0.00  SV_CheckForNewClients
  0.00     27.18     0.00     1207     0.00     0.00  D_DeleteBuffer
  0.00     27.18     0.00     1206     0.00     0.00  CL_SendMove
  0.00     27.18     0.00     1104     0.00     0.00  Q_strncmp
  0.00     27.18     0.00      511     0.00     0.00  quake::clipping::begin_brush_model()
  0.00     27.18     0.00      352     0.00     0.00  COM_LoadFile
  0.00     27.18     0.00      340     0.00     0.00  Mod_LoadModel(model_s*, qboolean)
  0.00     27.18     0.00      322     0.00     0.00  SV_UnlinkEdict
  0.00     27.18     0.00      273     0.00     0.00  MSG_ReadString
  0.00     27.18     0.00      271     0.00     0.00  MSG_WriteString
  0.00     27.18     0.00      232     0.00     0.00  S_FindName
  0.00     27.18     0.00      195     0.00     0.00  CL_KeepaliveMessage
  0.00     27.18     0.00      174     0.00     0.00  Draw_EndDisc
  0.00     27.18     0.00      173     0.00     0.00  Cmd_Argc
  0.00     27.18     0.00      169     0.00     0.00  CrossProduct
  0.00     27.18     0.00      166     0.00     0.00  Hunk_TempAlloc
  0.00     27.18     0.00      164     0.00     0.00  Cvar_RegisterVariable
  0.00     27.18     0.00      161     0.00     0.00  Cmd_Exists
  0.00     27.18     0.00      160     0.00     0.00  SubdividePolygon(int, float*)
  0.00     27.18     0.00      146     0.00     0.00  COM_MemFgets
  0.00     27.18     0.00      141     0.00     0.00  Cmd_AddCommand
  0.00     27.18     0.00      135     0.00     0.00  Cvar_VariableString
  0.00     27.18     0.00      128     0.00     0.00  ShortSwap
  0.00     27.18     0.00      117     0.00     0.00  S_PrecacheSound
  0.00     27.18     0.00      116     0.00     0.00  GetWavinfo
  0.00     27.18     0.00      116     0.00     0.00  ResampleSfx
  0.00     27.18     0.00      110     0.00     0.00  Draw_PicFromWad
  0.00     27.18     0.00       93     0.00     0.00  NUM_FOR_EDICT
  0.00     27.18     0.00       76     0.00     0.00  S_StartSound
  0.00     27.18     0.00       70     0.00     0.00  CL_ParseStartSoundPacket
  0.00     27.18     0.00       67     0.00     0.00  Cvar_Set
  0.00     27.18     0.00       62     0.00     0.00  ClearLink
  0.00     27.18     0.00       60     0.00     0.00  CL_ParseBaseline
  0.00     27.18     0.00       59     0.00     0.00  R_RocketTrail
  0.00     27.18     0.00       57     0.00     0.00  Q_strncasecmp
  0.00     27.18     0.00       55     0.00     0.00  S_StaticSound
  0.00     27.18     0.00       54     0.00     0.00  Con_DrawConsole
  0.00     27.18     0.00       43     0.00     0.00  Key_Event
  0.00     27.18     0.00       41     0.00     0.00  SV_ModelIndex
  0.00     27.18     0.00       31     0.00     0.00  COM_FileBase
  0.00     27.18     0.00       28     0.00     0.00  Mod_LoadAllSkins(int, daliasskintype_t*)
  0.00     27.18     0.00       27     0.00     0.00  M_Quit_Draw
  0.00     27.18     0.00       21     0.00     0.00  COM_FileExtension
  0.00     27.18     0.00       21     0.00     0.00  Con_Print
  0.00     27.18     0.00       20     0.00     0.00  COM_CheckParm
  0.00     27.18     0.00       20     0.00     0.00  RandomLong
  0.00     27.18     0.00       20     0.00     0.00  SwapPic
  0.00     27.18     0.00       16     0.00     0.00  CL_ParseTEnt
  0.00     27.18     0.00       12     0.00     0.00  Cvar_SetValue
  0.00     27.18     0.00       12     0.00     0.00  Host_Begin_f
  0.00     27.18     0.00       10     0.00     0.00  Loop_CanSendMessage
  0.00     27.18     0.00       10     0.00     0.00  Loop_SendMessage
  0.00     27.18     0.00       10     0.00     0.00  NET_CanSendMessage
  0.00     27.18     0.00        9     0.00     0.00  NET_SendMessage
  0.00     27.18     0.00        7     0.00     0.03  Sys_Quit
  0.00     27.18     0.00        5     0.00     0.00  SV_PushMove
  0.00     27.18     0.00        4     0.00     0.00  CL_SignonReply
  0.00     27.18     0.00        4     0.00     0.00  SZ_Alloc
  0.00     27.18     0.00        3     0.00     0.00  CL_Disconnect
  0.00     27.18     0.00        3     0.00     0.02  COM_LoadPackFile
  0.00     27.18     0.00        3     0.00     0.00  CRC_Init
  0.00     27.18     0.00        3     0.00     0.00  Host_ShutdownServer
  0.00     27.18     0.00        3     0.00     0.00  SCR_CenterPrint
  0.00     27.18     0.00        3     0.00     0.00  VID_ShiftPalette
  0.00     27.18     0.00        2     0.00     0.00  CDAudio_Pause
  0.00     27.18     0.00        2     0.00     0.00  CDAudio_Resume
  0.00     27.18     0.00        2     0.00     0.00  CL_NewTranslation
  0.00     27.18     0.00        2     0.00     0.49  Datagram_Init
  0.00     27.18     0.00        2     0.00     0.00  Datagram_Shutdown
  0.00     27.18     0.00        2     0.00     0.00  Host_Connect_f
  0.00     27.18     0.00        2     0.00     0.00  NET_Close
  0.00     27.18     0.00        2     0.00     0.00  NET_NewQSocket
  0.00     27.18     0.00        2     0.00     0.01  R_TeleportSplash
  0.00     27.18     0.00        2     0.00     0.00  SCR_BeginLoadingPlaque
  0.00     27.18     0.00        2     0.00     0.00  SV_CreateAreaNode
  0.00     27.18     0.00        2     0.00     0.00  SXDLY_CheckNewDelayVal
  0.00     27.18     0.00        2     0.00     0.00  SXDLY_CheckNewStereoDelayVal
  0.00     27.18     0.00        2     0.00     0.00  SXRVB_CheckNewReverbVal
  0.00     27.18     0.00        2     0.00     0.00  SX_Free
  0.00     27.18     0.00        2     0.00     0.00  Mod_LoadSpriteModel(model_s*, void*)
  0.00     27.18     0.00        1     0.00     0.01  CDAudio_Init
  0.00     27.18     0.00        1     0.00     0.00  CDAudio_Stop
  0.00     27.18     0.00        1     0.00     0.00  CL_ClearState
  0.00     27.18     0.00        1     0.00     0.00  CL_EstablishConnection
  0.00     27.18     0.00        1     0.00     0.00  CL_InitTEnts
  0.00     27.18     0.00        1     0.00     0.00  CL_ParseScreenFade
  0.00     27.18     0.00        1     0.00     0.89  CL_ParseServerInfo
  0.00     27.18     0.00        1     0.00     0.06  COM_AddGameDirectory
  0.00     27.18     0.00        1     0.00     0.01  COM_CheckRegistered
  0.00     27.18     0.00        1     0.00     0.07  COM_Init
  0.00     27.18     0.00        1     0.00     0.06  COM_InitFilesystem
  0.00     27.18     0.00        1     0.00     0.00  Cbuf_InsertText
  0.00     27.18     0.00        1     0.00     0.00  Con_ClearNotify
  0.00     27.18     0.00        1     0.00     0.00  Con_Init
  0.00     27.18     0.00        1     0.00     0.00  D_FlushCaches
  0.00     27.18     0.00        1     0.00     0.01  Draw_Init
  0.00     27.18     0.00        1     0.00     0.62  GL_BuildLightmaps
  0.00     27.18     0.00        1     0.00     0.00  Host_ClearMemory
  0.00     27.18     0.00        1     0.00     0.00  Host_InitLocal
  0.00     27.18     0.00        1     0.00     0.00  Host_InitVCR
  0.00     27.18     0.00        1     0.00     0.02  Host_WriteConfiguration
  0.00     27.18     0.00        1     0.00     0.00  IN_Init
  0.00     27.18     0.00        1     0.00     0.00  IN_Shutdown
  0.00     27.18     0.00        1     0.00     0.00  Loop_Connect
  0.00     27.18     0.00        1     0.00     0.00  M_ToggleMenu_f
  0.00     27.18     0.00        1     0.00     0.00  MaterialsInit
  0.00     27.18     0.00        1     0.00     0.00  Memory_Init
  0.00     27.18     0.00        1     0.00     0.00  Mod_ClearAll
  0.00     27.18     0.00        1     0.00     0.00  Mod_Init
  0.00     27.18     0.00        1     0.00     0.00  NET_Connect
  0.00     27.18     0.00        1     0.00     0.98  NET_Init
  0.00     27.18     0.00        1     0.00     0.00  NET_SendToAll
  0.00     27.18     0.00        1     0.00     0.00  NET_Shutdown
  0.00     27.18     0.00        1     0.00     0.40  PR_LoadProgs
  0.00     27.18     0.00        1     0.00     0.00  Q_atoi
  0.00     27.18     0.00        1     0.00     0.01  R_Init
  0.00     27.18     0.00        1     0.00     0.00  R_InitParticles
  0.00     27.18     0.00        1     0.00     0.00  R_InitSky
  0.00     27.18     0.00        1     0.00     0.00  R_InitTextures
  0.00     27.18     0.00        1     0.00     0.62  R_NewMap
  0.00     27.18     0.00        1     0.00     0.00  SCR_Init
  0.00     27.18     0.00        1     0.00     0.00  SND_InitScaletable
  0.00     27.18     0.00        1     0.00     0.00  SV_ConnectClient
  0.00     27.18     0.00        1     0.00     0.00  SV_CreateBaseline
  0.00     27.18     0.00        1     0.00     0.00  SV_DropClient
  0.00     27.18     0.00        1     0.00     0.00  SV_Init
  0.00     27.18     0.00        1     0.00     0.00  SV_SendServerinfo
  0.00     27.18     0.00        1     0.00     0.54  SV_SpawnServer
  0.00     27.18     0.00        1     0.00     0.00  SXDLY_DoDelay
  0.00     27.18     0.00        1     0.00     0.00  SXRVB_DoReverb
  0.00     27.18     0.00        1     0.00     0.00  S_BeginPrecaching
  0.00     27.18     0.00        1     0.00     0.00  S_EndPrecaching
  0.00     27.18     0.00        1     0.00     0.06  Sbar_Init
  0.00     27.18     0.00        1     0.00     0.00  Sky_Init
  0.00     27.18     0.00        1     0.00     0.00  Sky_LoadSkyBox
  0.00     27.18     0.00        1     0.00     0.00  Sky_NewMap
  0.00     27.18     0.00        1     0.00     0.01  W_LoadWadFile
  0.00     27.18     0.00        1     0.00     0.00  GL_Upload16_A(int, unsigned char const*, int, int)
  0.00     27.18     0.00        1     0.00     0.02  Mod_LoadEdges(lump_t*)
  0.00     27.18     0.00        1     0.00     0.05  Mod_LoadFaces(lump_t*)
  0.00     27.18     0.00        1     0.00     0.01  Mod_LoadLeafs(lump_t*)
  0.00     27.18     0.00        1     0.00     0.00  StartUpParams(char**, int, char*, char*, char*)
  0.00     27.18     0.00        1     0.00     0.01  Mod_LoadPlanes(lump_t*)
  0.00     27.18     0.00        1     0.00     0.02  Mod_LoadTexinfo(lump_t*)
  0.00     27.18     0.00        1     0.00     0.01  Mod_LoadLighting(lump_t*)
