Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     32.48     0.00        5     0.00     0.00  MSG_WriteString
  0.00     32.48     0.00        4     0.00     0.00  CL_SignonReply
  0.00     32.48     0.00        4     0.00     0.00  SZ_Alloc
  0.00     32.48     0.00        3     0.00     0.00  CL_Disconnect
  0.00     32.48     0.00        3     0.00     0.00  SCR_CenterPrint
  0.00     32.48     0.00        2     0.00     0.00  CL_AllocDlight
  0.00     32.48     0.00        2     0.00     0.00  CL_NewTranslation
  0.00     32.48     0.00        2     0.00     0.00  CL_PlayDemo_f
  0.00     32.48     0.00        2     0.00     0.00  COM_CheckRegistered
  0.00     32.48     0.00        2     0.00     0.00  COM_DefaultExtension
  0.00     32.48     0.00        2     0.00     0.02  COM_LoadPackFile
  0.00     32.48     0.00        2     0.00     0.00  Con_ClearNotify
  0.00     32.48     0.00        2     0.00     0.00  Cvar_SetValue
  0.00     32.48     0.00        2     0.00     0.69  Datagram_Init
  0.00     32.48     0.00        2     0.00     0.00  R_InitParticles
  0.00     32.48     0.00        2     0.00     0.03  R_TeleportSplash
  0.00     32.48     0.00        2     0.00     0.00  Mod_LoadSpriteModel(model_s*, void*)
  0.00     32.48     0.00        1     0.00     0.00  CDAudio_Init
  0.00     32.48     0.00        1     0.00     0.00  CDAudio_Play
  0.00     32.48     0.00        1     0.00     0.00  CL_ClearState
  0.00     32.48     0.00        1     0.00     0.00  CL_InitTEnts
  0.00     32.48     0.00        1     0.00     1.86  CL_ParseServerInfo
  0.00     32.48     0.00        1     0.00     0.05  COM_AddGameDirectory
  0.00     32.48     0.00        1     0.00     0.05  COM_InitFilesystem
  0.00     32.48     0.00        1     0.00     0.00  CRC_Init
  0.00     32.48     0.00        1     0.00     0.00  Cbuf_InsertText
  0.00     32.48     0.00        1     0.00     0.00  Con_Init
  0.00     32.48     0.00        1     0.00     0.00  D_FlushCaches
  0.00     32.48     0.00        1     0.00     0.01  Draw_Init
  0.00     32.48     0.00        1     0.00     1.20  GL_BuildLightmaps
  0.00     32.48     0.00        1     0.00     0.00  Host_ClearMemory
  0.00     32.48     0.00        1     0.00     0.00  Host_EndGame
  0.00     32.48     0.00        1     0.00     0.00  Host_InitLocal
  0.00     32.48     0.00        1     0.00     0.00  Host_InitVCR
  0.00     32.48     0.00        1     0.00     0.00  Memory_Init
  0.00     32.48     0.00        1     0.00     0.00  Mod_ClearAll
  0.00     32.48     0.00        1     0.00     0.00  Mod_Init
  0.00     32.48     0.00        1     0.00     1.39  NET_Init
  0.00     32.48     0.00        1     0.00     0.00  R_InitTextures
  0.00     32.48     0.00        1     0.00     0.01  SCR_Init
  0.00     32.48     0.00        1     0.00     0.00  SV_Init
  0.00     32.48     0.00        1     0.00     0.00  S_BeginPrecaching
  0.00     32.48     0.00        1     0.00     0.00  S_EndPrecaching
  0.00     32.48     0.00        1     0.00     0.13  Sbar_Init
  0.00     32.48     0.00        1     0.00     0.00  SwapPic
  0.00     32.48     0.00        1     0.00     0.00  W_LoadWadFile
  0.00     32.48     0.00        1     0.00     0.00  gprof_cleanup
  0.00     32.48     0.00        1     0.00     8.62  main

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.00% of 32.48 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     41.9    0.00   13.60                 R_RenderScene() [1]
                0.01   10.35     986/986         R_DrawWorld [2]
                0.01    3.00     986/986         R_DrawEntitiesOnList() [13]
                0.00    0.10     986/986         R_SetupFrame() [87]
                0.04    0.03     986/986         R_SetupGL() [99]
                0.00    0.03     986/986         R_MarkLeaves() [138]
                0.01    0.00     986/986         R_SetFrustum() [202]
                0.01    0.00     986/986         R_RenderDlights [201]
                0.00    0.00    2958/5520        SNDDMA_Submit [233]
-----------------------------------------------
                0.01   10.35     986/986         R_RenderScene() [1]
[2]     31.9    0.01   10.35     986         R_DrawWorld [2]
                0.49    6.12  228358/237604      R_RenderBrushPoly [6]
                0.41    3.26     986/986         R_RecursiveWorldNode(mnode_s*) [8]
                0.00    0.05      79/79          R_DrawSkyChain [116]
                0.00    0.01     986/3633        R_BlendLightmaps() [135]
-----------------------------------------------
                0.00    8.62       1/1           _main [4]
[3]     26.6    0.00    8.62       1         main [3]
                1.62    5.91  208742/208742      _Host_Frame [5]
                0.68    0.00  104371/104371      quake::battery::check() [37]
                0.42    0.00       1/1           COM_InitArgv [53]
                0.00    0.00       2/233         Sys_Printf [292]
                0.00    0.00       1/1           gprof_cleanup [315]
-----------------------------------------------
                                                 <spontaneous>
[4]     26.6    0.00    8.62                 _main [4]
                0.00    8.62       1/1           main [3]
-----------------------------------------------
                1.62    5.91  208742/208742      main [3]
[5]     23.2    1.62    5.91  208742         _Host_Frame [5]
                0.00    4.18     987/987         CL_ReadFromServer [7]
                0.01    1.22    1281/1281        S_Update [31]
                0.00    0.18    1282/1282        CL_SendCmd [68]
                0.13    0.00    2562/2588        GL_EndRendering [78]
                0.05    0.00     986/986         CL_DecayLights [120]
                0.00    0.04    1282/1282        Cbuf_Execute [126]
                0.01    0.03    1282/1282        NET_Poll [129]
                0.02    0.00    1281/1281        CDAudio_Update [165]
                0.02    0.00    1282/1282        IN_Commands [174]
                0.00    0.00    1282/1282        Sys_SendKeyEvents [235]
                0.00    0.00    1282/1282        Sys_ConsoleInput [243]
-----------------------------------------------
                0.02    0.25    9246/237604      R_DrawBrushModel [39]
                0.49    6.12  228358/237604      R_DrawWorld [2]
[6]     21.2    0.51    6.37  237604         R_RenderBrushPoly [6]
                2.55    0.00  155989/196737      quake::clipping::clip(glvert_s const*, unsigned int, glvert_s const**, unsigned int*) [10]
                1.48    0.00  219280/283551      quake::clipping::is_clipping_required(glvert_s const*, unsigned int) [20]
                0.16    1.10   18324/18324       EmitWaterPolys [30]
                0.65    0.00  237604/250319      GL_Bind [36]
                0.43    0.00   18604/24463       R_BuildLightMap(msurface_s*, unsigned char*, int) [43]
-----------------------------------------------
                0.00    4.18     987/987         _Host_Frame [5]
[7]     12.9    0.00    4.18     987         CL_ReadFromServer [7]
                0.00    2.67     991/991         CL_ParseServerMessage [17]
                0.01    1.34    1977/1977        CL_GetMessage [29]
                0.01    0.15     986/986         CL_RelinkEntities [74]
                0.01    0.00     986/986         CL_UpdateTEnts [189]
-----------------------------------------------
                              206998             R_RecursiveWorldNode(mnode_s*) [8]
                0.41    3.26     986/986         R_DrawWorld [2]
[8]     11.3    0.41    3.26     986+206998  R_RecursiveWorldNode(mnode_s*) [8]
                0.33    2.94  280074/287073      R_CullBox [9]
                              206998             R_RecursiveWorldNode(mnode_s*) [8]
-----------------------------------------------
                0.01    0.07    6999/287073      R_DrawBrushModel [39]
                0.33    2.94  280074/287073      R_RecursiveWorldNode(mnode_s*) [8]
[9]     10.3    0.34    3.01  287073         R_CullBox [9]
                3.01    0.00 1114323/1138525     BoxOnPlaneSide [11]
-----------------------------------------------
                0.67    0.00   40748/196737      EmitWaterPolys [30]
                2.55    0.00  155989/196737      R_RenderBrushPoly [6]
[10]     9.9    3.22    0.00  196737         quake::clipping::clip(glvert_s const*, unsigned int, glvert_s const**, unsigned int*) [10]
-----------------------------------------------
                0.00    0.00     653/1138525     R_SplitEntityOnNode(mnode_s*) [229]
                0.06    0.00   23549/1138525     R_DrawAliasModel(entity_s*) [16]
                3.01    0.00 1114323/1138525     R_CullBox [9]
[11]     9.5    3.07    0.00 1138525         BoxOnPlaneSide [11]
-----------------------------------------------
                                                 <spontaneous>
[12]     9.4    0.00    3.05                 SCR_UpdateScreen [12]
                0.00    1.82     362/362         Con_DrawConsole [22]
                0.01    0.42    2279/2279        V_RenderView [52]
                0.01    0.29     931/931         Con_DrawNotify [59]
                0.01    0.28    1293/1293        Sbar_Draw [60]
                0.09    0.02    1293/1293        V_UpdatePalette [86]
                0.04    0.00    1293/1293        SCR_TileClear() [127]
                0.02    0.00    1293/1293        GL_Set2D [173]
                0.01    0.00    3992/738609      Draw_Character [18]
                0.01    0.00    1293/1294        Con_CheckResize [198]
                0.01    0.00    1293/1293        GL_BeginRendering [200]
                0.00    0.00     548/25728       Draw_AlphaPic(int, int, qpic_t*, float) [65]
                0.00    0.00    1293/1293        M_Draw [225]
                0.00    0.00    1296/1573        Sbar_Changed [224]
-----------------------------------------------
                0.01    3.00     986/986         R_RenderScene() [1]
[13]     9.3    0.01    3.00     986         R_DrawEntitiesOnList() [13]
                0.02    2.38    6535/7521        R_DrawAliasModel(entity_s*) [16]
                0.02    0.58    6999/6999        R_DrawBrushModel [39]
-----------------------------------------------
                                                 <spontaneous>
[14]     8.8    0.00    2.86                 AudioChannelThread [14]
                2.86    0.00    1110/1110        quake::sound::fillOutputBuffer(void*, unsigned int, void*) [15]
-----------------------------------------------
                2.86    0.00    1110/1110        AudioChannelThread [14]
[15]     8.8    2.86    0.00    1110         quake::sound::fillOutputBuffer(void*, unsigned int, void*) [15]
-----------------------------------------------
                0.00    0.36     986/7521        R_DrawViewModel() [45]
                0.02    2.38    6535/7521        R_DrawEntitiesOnList() [13]
[16]     8.5    0.02    2.74    7521         R_DrawAliasModel(entity_s*) [16]
                1.59    0.00    4334/4334        GL_DrawAliasFrame(aliashdr_t*, int) [23]
                0.01    0.76    4334/5320        R_LightPoint [34]
                0.01    0.17    4334/4334        Mod_Extradata [71]
                0.07    0.00    4334/129158      VectorNormalize [19]
                0.06    0.00   23549/1138525     BoxOnPlaneSide [11]
                0.06    0.00    1171/1873        Length [95]
                0.01    0.00    4334/250319      GL_Bind [36]
-----------------------------------------------
                0.00    2.67     991/991         CL_ReadFromServer [7]
[17]     8.2    0.00    2.67     991         CL_ParseServerMessage [17]
                0.00    1.86       1/1           CL_ParseServerInfo [21]
                0.03    0.41   15032/15032       CL_ParseUpdate [50]
                0.00    0.10     138/138         CL_ParseTEnt [91]
                0.07    0.00   19472/57411       MSG_ReadByte [66]
                0.00    0.06     968/968         CL_ParseClientdata [104]
                0.00    0.05     542/542         CL_ParseStartSoundPacket [114]
                0.00    0.04     136/136         R_ParseParticleEffect [130]
                0.00    0.01     177/177         CL_ParseBaseline [181]
                0.00    0.01      72/72          S_StaticSound [212]
                0.01    0.00    1102/4546        MSG_ReadShort [159]
                0.00    0.00     963/963         MSG_ReadFloat [216]
                0.00    0.00      40/40          R_AddEfrags [228]
                0.00    0.00     216/26156       MSG_ReadCoord [61]
                0.00    0.00     991/991         MSG_BeginReading [244]
                0.00    0.00      43/63          Con_Printf [250]
                0.00    0.00      11/11          V_ParseDamage [265]
                0.00    0.00     126/373         MSG_ReadString [247]
